# Cpu scheduler: rr
# Quantum: 0.1
pid arrival_time cpu_bursts_time io_bursts_time bursts_time tat ready_wait_time io_wait_time
0 13.490145931479635 19.86389003106922 4.40282235704423 24.26671238811345 53.371720107296156 28.713244905855376 4.794585170371382
2 20.842220444042795 14.859176070126978 3.832064946883773 18.69124101701075 48.30815784893686 28.94571358029721 4.503268198512586
1 18.143278063556707 22.107771429681602 5.561889830780146 27.669661260461748 63.000906495081566 34.38799868378938 6.505136381610772
3 55.59400095884714 14.965210341441423 3.0594444692499696 18.02465481069139 31.751672032457613 13.565348372245658 3.221113318771188
4 109.87022742741983 15.459254715707702 3.3782483746836682 18.837503090391372 18.837503090390513 0.0 3.3782483746836647
5 159.02804017120587 15.55569596059593 3.9257323338695964 19.48142829446553 19.481428294464735 0.0 3.925732333869604
6 179.53647857732093 12.568536946858217 2.671679189549047 15.240216136407264 19.169196099399272 3.7137095864794105 2.886949566062327
7 189.08125793178127 14.864211213002278 3.5189646425486774 18.38317585555096 22.054197367025267 3.6710215114751463 3.518964642548667
8 248.68043541301085 27.75999928565394 6.406857908457386 34.16685719411132 52.43140054749563 18.181035484689744 6.4903657771475025
9 264.07954626384577 18.263939329027096 3.7460909695283897 22.01003029855548 44.27644982977279 22.266419531213273 3.7460909695284386
10 287.2833222771883 21.77946904638864 5.457977293039412 27.237446339428057 57.88384364077507 30.347067853775002 5.75730674060668
11 294.5543888739151 22.070102548186753 5.665820444496993 27.735922992683747 56.222171128665025 28.141826871987348 6.010241708486035
12 327.15710700436716 12.594288408779619 2.5457296634613984 15.140018072241018 28.217788922670763 12.860984535763578 2.7625159781248385
13 365.6194838810635 17.013757005087573 4.194021905389437 21.207778910477014 21.207778910480897 0.0 4.194021905389434
16 433.3388231335118 7.1319536444057015 1.4667244939528388 8.59867813835854 22.378305027927127 13.567052675341984 1.6792987081778392
14 423.51337915254425 15.168289563178705 3.9172558354440206 19.085545398622727 35.85871354869107 16.57414237457317 4.116281610935914
15 429.46854510052793 22.047150799246573 5.218662071236425 27.265812870482996 53.73728595400638 25.955503287157683 5.734631867597216
17 449.5944881961503 15.901135080193727 4.306596787763979 20.207731867957705 35.55887160065555 14.995200484335726 4.662536036122617
18 509.59756325447563 13.942848503371632 3.820307939219412 17.763156442591043 37.62172145847137 19.5822254708263 4.09664748427042
20 519.7248942349355 9.088843949769949 2.4665060138671375 11.555349963637088 28.369110628120552 16.32793432431447 2.95233235403407
19 510.2892241075523 16.894021999743213 4.027563218199699 20.921585217942916 44.213110571716584 22.497222370499458 4.8218662014701295
22 558.4214652887928 10.646994843502336 2.5781788818422995 13.225173725344634 21.8955937365032 8.232861127215301 3.0157377657832285
21 540.8657999500233 21.91002249470651 6.1118002917951735 28.02182278650168 44.02745717336643 15.2081073711405 6.909327307514673
23 586.4197964181113 16.587749213677156 4.4012886712751484 20.9890378849523 20.989037884955792 0.0 4.401288671275097
25 623.2405797597745 12.668349252116084 3.506746353201214 16.175095605317303 27.05670905378622 10.218616084916448 4.169743716750645
24 614.4845346748568 22.452112270745843 4.98220337920519 27.434315649951028 37.98645355902079 10.308539803685562 5.225801484584281
26 729.4434041359207 9.481136182864002 2.4532901425066562 11.934426325370657 11.934426325372783 0.0 2.4532901425067166
28 781.8562211779256 11.796705841160758 2.7296137258207676 14.526319566981524 29.833958203812813 15.307638636828756 2.729613725820741
27 778.6385823754201 18.00003633287694 4.158323885670054 22.158360218547 41.16873774650071 18.480682591456798 4.688018822163031
29 791.306082100655 14.759884278363637 3.8364176073304956 18.596301885694132 34.04367158439993 14.819137969753115 4.4646493362798765
31 874.3353408328934 8.367711918659353 2.2455928400395915 10.613304758698945 21.277063334918466 10.663758576217674 2.2455928400396488
30 865.6242009430454 19.138257095155645 4.368148403921099 23.50640549907674 40.08215672100482 16.254232014203467 4.689667611641312
