# Cpu scheduler: sjf
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time nbursts bursts_time tat ready_wait_time io_wait_time
5 31.62722802583469 40.0 10.400686771527576 3 50.400686771527575 153.0015277191969 102.60084094766933 10.400686771527575
6 42.90274389027152 60.0 30.147513814981156 5 90.14751381498115 299.72601185476003 182.30562737036647 57.420384484393594
7 56.10236748555392 60.0 29.413298555082307 5 89.4132985550823 311.52638825947764 183.18089586526057 68.3454923942171
0 1.1287557450315786 100.0 58.68158519472466 9 158.68158519472468 424.5 218.17557481126494 106.32442518873506
2 11.187056504865609 120.0 67.01743679260719 11 187.01743679260719 511.73903642884386 217.16834174206627 174.57069468677764
26 226.8992790381397 40.5 122.34594391504899 161 162.84594391504902 11234.33612884439 32.08255873526343 11161.753570109127
39 441.769582897299 39.5 117.20344193824036 157 156.7034419382404 11224.86563567468 34.84228591035486 11150.523349764326
32 289.9619088173676 41.0 123.15478408070534 163 164.15478408070533 11490.061420624519 34.88090051521908 11414.1805201093
19 158.70919062731735 42.5 127.86588776848343 169 170.36588776848345 11628.71890659804 54.07319311477505 11532.145713483267
17 140.84254245344403 44.0 132.77500996489044 175 176.77500996489044 12018.563640482113 78.16007887109987 11896.403561611012
12 100.28049269118142 45.0 133.96325908262259 179 178.96325908262259 12133.50677140011 63.55806097967178 12024.948710420438
3 15.46540198589367 47.0 141.48185127328964 187 188.48185127328964 12272.80729836559 131.4689228588448 12094.338375506744
11 87.44943031529013 46.0 134.27856230129623 183 180.27856230129626 12398.099821897122 77.24794739411631 12274.851874503005
37 396.33803405679316 43.0 130.25386726005118 171 173.25386726005115 12201.56690256589 15.229204567820943 12143.337697998068
41 458.3970050390054 43.0 129.63076757108433 171 172.63076757108433 12263.922760351685 12.83700020223472 12208.08576014945
4 19.587649801289345 49.5 146.00883432144454 197 195.50883432144457 12951.400237391324 118.14275565479396 12783.757481736531
18 141.91932181331126 47.0 139.54280577941657 187 186.54280577941657 12854.29810844051 64.31831856130677 12742.979789879202
30 245.2600194396347 46.0 135.22701293250879 183 181.22701293250879 12815.971117991088 79.1984988448738 12690.772619146213
43 475.74462126033717 44.5 133.23620406492697 177 177.73620406492694 12682.743711706642 0.0 12638.243711706642
20 173.45086673669826 47.5 139.89551273455638 189 187.3955127345564 13056.683327394236 71.57830840916822 12937.605018985068
45 521.3823381158086 45.0 134.28451261403265 179 179.28451261403268 12848.267425305801 8.04375481790089 12795.223670487901
10 82.85812153335435 49.5 148.28248839191886 197 197.78248839191883 13300.255602730751 79.9173782807567 13170.838224449994
102 1044.097838963768 42.5 125.51932457555678 169 168.0193245755568 12444.110553427117 0.0 12401.610553427117
35 377.3298028104402 47.0 139.70586554519272 187 186.7058655451927 13198.428332370095 53.48428556775269 13097.944046802342
68 738.9247582584761 44.5 127.9460505121266 177 172.4460505121266 12889.666869390801 0.21107883331842459 12844.955790557482
54 603.501186862812 45.5 136.4615355982425 181 181.96153559824248 13053.827636788428 0.3108538868583537 13008.01678290157
15 117.27797671921418 50.0 147.75207649767108 199 197.75207649767106 13559.103575589254 87.57694390405031 13421.526631685203
1 1.1287557450315786 53.0 154.63108825853672 211 207.63108825853672 13835.219086170064 147.2316805339933 13634.987405636071
22 191.55531489975482 50.0 148.62088290999577 199 198.62088290999574 13718.092340922907 61.038611893542594 13607.053729029365
14 105.92465744328177 51.5 149.60314977178945 205 201.1031497717895 13854.0223102791 94.89013630833205 13707.632173970767
28 232.78060355543911 50.0 147.7904110529158 199 197.7904110529158 13777.111340537496 38.969712858711915 13688.141627678784
13 105.20398803826691 52.0 157.21294044263362 207 209.2129404426336 13952.457666919196 90.18642819977961 13810.271238719415
23 208.28407643383608 50.5 150.8895357493829 201 201.38953574938293 13874.07480226512 61.13625324672094 13762.438549018401
88 950.7727639863971 45.5 136.4787209498332 181 181.9787209498332 13147.888178296856 0.21422785377978926 13102.173950443075
75 811.0215799343526 46.5 137.8782474998711 185 184.37824749987107 13363.572675430725 0.0 13317.072675430725
29 235.93407520427104 51.0 147.67544624914453 203 198.6754462491445 13994.921705750301 48.12900279305205 13895.79270295725
56 631.1563669367689 48.0 144.2015679615429 191 192.20156796154288 13633.164798041327 0.4641885940808379 13584.700609447247
57 637.2802919825231 48.0 141.05594595579 191 189.05594595578998 13632.276586724443 0.387752667583527 13583.88883405686
76 821.2037564125653 47.0 137.39522638627022 187 184.39522638627022 13465.053640979055 0.4685884969825338 13417.585052482073
60 652.9912422004254 48.0 140.25373104636822 191 188.25373104636822 13638.55098436929 0.0 13590.55098436929
38 398.55563429002177 50.0 146.44828969596387 199 196.4482896959639 13912.900730678259 9.551086095405367 13853.349644582853
69 766.3736023952177 47.5 135.9437950807015 189 183.44379508070153 13558.21148823987 0.0 13510.71148823987
64 696.608505221107 48.0 140.13131457282535 191 188.13131457282532 13643.30063960294 0.0 13595.30063960294
9 73.19578370833634 54.0 162.8010206717352 215 216.8010206717352 14295.110556769583 111.66241514426837 14129.448141625313
24 214.60612519648595 52.0 159.43023797750175 207 211.43023797750172 14185.585153642307 36.519797377594216 14097.065356264711
51 596.0631599974987 49.0 146.07947766186282 195 195.07947766186288 13809.315188255217 0.9525689574645639 13759.362619297754
42 466.5344045374408 50.0 143.2607103027367 199 193.26071030273667 13943.317933848202 2.8365481781039534 13890.481385670098
34 361.3925353279378 51.0 148.76578549443533 203 199.76578549443536 14074.396014328502 22.51374245531872 14000.882271873183
72 797.1824012675019 48.0 138.9934227105198 191 186.99342271051978 13652.689482624246 0.0 13604.689482624248
27 229.46273877135258 52.5 153.71573299689567 209 206.21573299689564 14273.934972720404 24.79931696069673 14196.635655759706
94 1003.8066162854783 47.5 138.67639527721263 189 186.17639527721263 13521.252495621107 0.0 13473.752495621107
70 791.7049286033198 48.5 142.126157930489 193 190.626157930489 13738.859265703697 0.46356775360277425 13689.895697950094
73 797.5843289372805 48.5 147.71960365787004 193 196.21960365787004 13737.8993421704 0.09807233022138462 13689.301269840178
90 992.3892289455449 48.0 148.61339722266476 191 196.61339722266476 13601.582915707064 0.0 13553.582915707064
74 809.4818291915147 49.0 141.27393851475645 195 190.27393851475642 13810.964514933172 0.0 13761.96451493317
66 733.5953232482472 49.5 148.4200946654444 197 197.92009466544442 13902.872471268656 0.0 13853.372471268656
16 127.00553587957566 55.0 167.43826814812832 219 222.43826814812832 14546.821604705698 67.60798429122994 14424.213620414468
46 526.9771382027157 51.5 149.88360950654544 205 201.38360950654544 14190.840285233544 4.576248532880754 14134.764036700664
25 223.02837122865748 54.0 165.7158551073732 215 219.7158551073732 14505.20886930661 37.805984238400754 14413.40288506821
8 69.03895447683169 56.5 170.19437460147407 225 226.69437460147407 14684.390540542618 71.3694270311837 14556.521113511433
36 381.28744684962 53.5 165.3300624195967 213 218.8300624195967 14454.071441093653 45.22254612578064 14355.348894967872
50 578.3271759862071 52.0 160.31555572991317 207 212.3155557299132 14270.807143260057 0.08183966674550902 14218.725303593312
48 537.9289940636468 52.5 148.02919313829835 209 200.52919313829833 14330.624381218 0.0 14278.124381218
59 643.6480448189967 52.0 155.46408292603877 207 207.46408292603877 14268.051606841274 0.0 14216.051606841273
40 456.25151254890716 53.5 156.53755406719634 213 210.03755406719637 14462.339169876857 16.118094777267004 14392.721075099591
53 602.8120407496704 52.5 150.28181584016767 209 202.78181584016767 14332.529667603583 0.0 14280.029667603581
21 189.15400988098497 56.0 162.39239980433155 223 218.3923998043315 14757.716844114513 72.35940033194544 14629.357443782568
92 998.9511592918158 50.5 151.94252483382095 201 202.44252483382095 13954.336600545164 0.0 13903.836600545164
85 889.6344204175914 51.0 157.3429395403162 203 208.34293954031617 14067.440529521886 0.3010282874392942 14016.139501234447
49 574.4898952147913 53.0 158.91047076402378 211 211.9104707640238 14398.028948204235 0.0 14345.028948204235
87 942.7554694195634 51.0 149.83637287183467 203 200.83637287183467 14043.291507559357 0.0 13992.291507559357
33 321.5799653931356 55.5 163.10440139615613 221 218.60440139615613 14708.885695640814 36.81073982819879 14616.574955812615
61 665.620293080309 53.0 153.96637011540105 211 206.96637011540105 14375.898485075288 0.21881967669401092 14322.679665398593
100 1035.8509848847061 51.5 157.74204722468585 205 209.2420472246858 14043.146803724208 0.0 13991.646803724208
47 528.081595360245 54.5 162.3804217596149 217 216.88042175961488 14562.609679101446 4.344497573464423 14503.765181527982
78 837.3969059536114 53.0 156.63667302314943 211 209.6366730231494 14298.230579641444 0.0 14245.230579641446
52 599.0868123031275 54.5 161.80807524114013 217 216.30807524114013 14541.668416259545 0.0 14487.168416259545
96 1018.3620436259073 52.5 158.5103830474921 209 211.0103830474921 14145.98955797691 0.0 14093.489557976913
89 956.8106261205104 53.0 158.70786256377664 211 211.70786256377667 14225.22945781413 0.0 14172.22945781413
80 853.7674512595987 53.5 161.75982132246588 213 215.25982132246588 14330.259257716823 0.0 14276.759257716823
86 899.7237972395618 53.5 157.0483764745899 213 210.54837647458993 14305.78582234143 0.07499779864883749 14252.21082454278
65 708.9159182590649 54.5 157.98846343818315 217 212.48846343818315 14498.477234980583 0.7541413630973466 14443.223093617484
67 737.3995749577608 54.5 165.98529208285035 217 220.48529208285035 14481.816217371928 0.0 14427.316217371928
82 867.8747635571216 54.0 157.6958812566134 215 211.6958812566134 14357.121846633481 0.47668885811799555 14302.645157775363
44 496.9301379996985 56.5 167.49917071351376 225 223.99917071351376 14742.09316608896 0.0 14685.59316608896
103 1046.5318613113152 53.5 155.5433310929111 213 209.0433310929111 14203.282231508285 0.03417852385223341 14149.748052984432
83 877.379242565901 55.0 168.69898552840934 219 223.69898552840934 14414.779168490464 0.0 14359.779168490464
77 821.351338141313 55.5 164.54955678060836 221 220.04955678060838 14489.322361128594 0.8210067682348381 14433.00135436036
55 609.4340354395923 57.0 168.07814863092722 227 225.07814863092722 14711.76845640634 0.405999694667571 14654.362456711671
58 640.515077929221 57.0 165.58265604748354 227 222.58265604748357 14693.185504163497 0.45971125979588123 14635.725792903702
62 682.7424785713018 57.0 169.16588138302347 227 226.16588138302347 14658.221476523748 0.0 14601.221476523748
95 1007.4478861967638 56.0 165.343992105743 223 221.343992105743 14364.713987304624 0.0 14308.713987304624
91 992.5625889030288 56.5 167.15479151400308 225 223.65479151400308 14397.080196022489 0.3266400425161464 14340.253555979973
93 1003.2132808925111 56.5 169.0912791020587 225 225.5912791020587 14388.874400169574 0.0 14332.374400169572
79 840.4239823153783 58.5 175.71408727027244 233 234.21408727027242 14593.080177268464 0.056166371037420504 14534.524010897427
