# Cpu scheduler: fcfs
# Quantum: None
pid arrival_time cpu_bursts_time io_bursts_time nbursts bursts_time tat ready_wait_time io_wait_time
0 26.676970021080745 40.0 13.741086369845663 3 53.74108636984566 122.00000000000001 68.25891363015435 13.741086369845661
5 44.89467931712796 40.0 10.58449427914044 3 50.58449427914044 126.78229070395281 76.19779642481237 10.584494279140443
7 56.893556921185485 40.0 16.132028812198584 3 56.132028812198584 156.78341309989528 100.65138428769669 16.132028812198584
6 51.751343359538296 80.0 43.739401228947955 7 123.73940122894795 267.9256266615425 130.79423866057982 57.13138800096266
8 56.90298801685999 80.0 35.770943418449754 7 115.77094341844976 288.2739820042208 154.01061499699972 54.263367007221035
40 340.7535016590457 39.0 118.51611736001252 155 157.51611736001252 11095.653794834534 11.93337048052939 11044.720424354005
14 102.9923018417438 41.5 124.11201707067661 165 165.6120170706766 11668.144370997208 173.6239448445323 11453.020426152676
10 76.08172743417893 43.0 123.74822295293178 171 166.74822295293177 12088.744368548481 203.98901271470208 11841.755355833779
44 399.74786032642794 41.0 119.02326084224484 163 160.02326084224484 11786.250761780975 0.0 11745.250761780975
49 441.9395581417 41.0 118.51911964288355 163 159.51911964288354 11854.647234886212 0.0 11813.64723488621
30 216.80513216677136 43.5 130.7623921375451 173 174.26239213754508 12311.997150505284 69.5325467916384 12198.964603713644
31 226.27647560665793 43.5 132.81446377025048 173 176.31446377025048 12305.195195148339 58.40807082565158 12203.287124322685
95 827.087615089297 40.0 118.79040287583368 159 158.79040287583368 11818.514160630893 0.10709440904213352 11778.407066221851
27 209.41012604424768 44.0 132.73593261175168 175 176.73593261175165 12438.883914305366 81.0026525485807 12313.881261756786
17 139.67134514883782 46.0 135.0685428615867 183 181.06854286158665 12945.122195952648 158.80618138132525 12740.316014571323
4 37.71117473220727 47.0 142.79124616780382 187 189.7912461678038 13075.036134116981 229.3101838702472 12798.725950246733
83 728.2279278372707 42.5 119.97104168772012 169 162.47104168772012 12477.941600764334 0.001119714810329242 12435.440481049523
87 771.1506990127148 42.5 127.0778574085329 169 169.57785740853288 12488.407059471045 0.3176344017088013 12445.589425069336
81 715.7023792492803 43.5 131.4014858198921 173 174.90148581989212 12742.597138273119 0.0 12699.097138273119
2 30.776864860195438 48.5 148.06575570343372 193 196.5657557034337 13476.40863885602 243.42653633139224 13184.48210252463
35 286.0223950004696 47.0 141.084504117697 187 188.08450411769704 13295.33821472914 18.01672032719449 13230.321494401946
15 132.4878238502754 48.0 139.14534180061588 191 187.14534180061585 13468.29297273597 153.91483736253485 13266.378135373434
52 475.72956889445004 45.5 135.52179573100705 181 181.02179573100705 13126.868194946617 0.0 13081.368194946619
36 296.4528368126153 47.5 139.31694129335187 189 186.81694129335182 13421.308966816296 26.695054391426254 13347.11391242487
28 211.81919170326998 48.0 137.837971985507 191 185.83797198550704 13508.567351799984 77.3156399162394 13383.251711883744
19 152.194944290859 48.5 142.4012411369763 193 190.9012411369763 13610.06614425129 142.43420653376182 13419.13193771753
12 95.84618005103506 49.0 144.79634105367208 195 193.7963410536721 13710.664908118026 181.96688542131187 13479.698022696715
22 176.33094324303886 48.5 143.3334940301192 193 191.83349403011923 13631.62489696481 102.05199658784926 13481.072900376961
68 614.597822079108 45.5 137.35648326329942 181 182.85648326329942 13222.406964606527 0.22529627486551362 13176.681668331663
